"design_last_role","design_current_role","design_item_consistent","design_item_type","design_bg_type","targ_prob","comp_prob","decoy_prob","targ_pay","comp_pay","decoy_pay","targ_item","comp_item","decoy_item","targ_value","comp_value","decoy_value"
"novel","targ",TRUE,"urn","urn",0.559603380852856,0.771732530323789,0.469276321375288,10.3224287494712,7.48506224610384,10.3224287494712,"urn","urn","ticket",5.77646602681678,5.77646602681678,4.84407139121034
"novel","comp",FALSE,"urn","urn",0.969518254511058,0.627146947459466,0.901122652040794,2.85588472293814,4.41496587503798,2.85588472293814,"urn","urn","urn",2.76883237166778,2.76883237166778,2.5735024154568
"targ","comp",TRUE,"urn","urn",0.71582188596949,0.969518254511058,0.71582188596949,3.86804654333494,2.85588472293814,0.327462554217642,"urn","urn","urn",2.76883237166778,2.76883237166778,0.234404863144459
"decoy","comp",FALSE,"urn","urn",0.0962108180392534,0.71582188596949,0.0272960942005739,2.43636701071207,0.327462554217642,2.43636701071207,"ticket","urn","urn",0.234404863144459,0.234404863144459,0.0665033034315673
"comp","comp",TRUE,"urn","ticket",0.169979281723499,0.71582188596949,0.0996069381246343,1.37902020038983,0.327462554217642,1.37902020038983,"ticket","urn","ticket",0.234404863144459,0.234404863144459,0.13735997977285
"novel","decoy",TRUE,"urn","urn",0.597104192200271,0.943518140353262,0.597104192200271,10.7622183245891,6.81085546122165,6.09462530783424,"urn","urn","urn",6.42616567898671,6.42616567898671,3.63912632119769
"novel","decoy",FALSE,"urn","urn",0.566482840003839,0.195621411548927,0.566482840003839,12.8465734901808,37.2012622617004,8.40939202392176,"urn","ticket","urn",7.27736343503567,7.27736343503567,4.76377627641683
"novel","decoy",TRUE,"urn","urn",0.2692493818817,0.835409552557394,0.2692493818817,14.143947687145,4.55854156859099,10.9906247273605,"ticket","urn","urn",3.80824917213088,3.80824917213088,2.95921891433555
"targ","decoy",TRUE,"urn","urn",0.2692493818817,0.533603580668569,0.2692493818817,17.2659698749479,8.71218238564494,14.143947687145,"urn","urn","ticket",4.64885171641777,4.64885171641777,3.80824917213088
"decoy","targ",TRUE,"urn","urn",0.2692493818817,0.507062298478559,0.2692493818817,14.143947687145,7.51041673490128,10.7054410210397,"ticket","urn","urn",3.80824917213088,3.80824917213088,2.88243337768594
"novel","targ",TRUE,"urn","ticket",0.154613075194399,0.368512174580246,0.0784204432144605,12.5221314480107,5.25378911394374,12.5221314480107,"urn","ticket","ticket",1.93608525116543,1.93608525116543,0.981991098142735
"comp","targ",TRUE,"urn","urn",0.368512174580246,0.702931763138622,0.368512174580246,5.25378911394374,2.75430042102625,1.44450895173223,"urn","urn","ticket",1.93608525116543,1.93608525116543,0.532319135003477
"decoy","decoy",FALSE,"urn","ticket",0.467718952347059,0.126734641147777,0.368512174580246,1.44450895173223,5.33101453115998,1.44450895173223,"ticket","ticket","urn",0.675624213560147,0.675624213560147,0.532319135003477
"novel","comp",TRUE,"urn","urn",0.648662188788876,0.426532154032575,0.596045252634212,4.47525693059613,6.80588773565561,4.47525693059613,"urn","urn","urn",2.90292995599307,2.90292995599307,2.66745564780018
"novel","targ",TRUE,"urn","urn",0.307537344326241,0.601536380127072,0.307537344326241,12.3619698929896,6.32009553724393,8.50438436458984,"urn","urn","ticket",3.80176739153098,3.80176739153098,2.61541578261557
"targ","decoy",FALSE,"urn","urn",0.369790191547921,0.930962778162211,0.307537344326241,12.3619698929896,4.91033081221832,12.3619698929896,"urn","urn","ticket",4.57133521463827,4.57133521463827,3.80176739153098
"comp","decoy",TRUE,"urn","urn",0.930962778162211,0.605676691746339,0.930962778162211,9.29495875142021,14.286930205578,4.91033081221832,"urn","urn","urn",8.65326062212532,8.65326062212532,4.57133521463827
"decoy","decoy",TRUE,"urn","urn",0.930962778162211,0.705912620993331,0.930962778162211,8.13709086808814,10.7312555342246,4.91033081221832,"urn","urn","urn",7.57532872071369,7.57532872071369,4.57133521463827
"novel","comp",FALSE,"urn","ticket",0.482024590019137,0.823514373019914,0.482024590019137,10.3569640891798,6.06220308046657,6.62916436066705,"ticket","urn","ticket",4.99231136892982,4.99231136892982,3.19542023312001
"novel","decoy",TRUE,"ticket","ticket",0.844634132559636,0.18819963443093,0.770086904715041,4.18498855359026,18.7820990589171,4.18498855359026,"urn","ticket","ticket",3.53478417673372,3.53478417673372,3.2228048815022
"novel","decoy",TRUE,"urn","ticket",0.100523636425276,0.484956706641242,0.100523636425276,21.0416721450404,4.36159634771822,16.9171111653798,"ticket","ticket","urn",2.1151854004879,2.1151854004879,1.70056953215462
